Observatoire des territoires - ANCT,...2,...3,...4
Taux de participation aux élections législatives (Commune (2022)),,,
,,,
,,,Législatives - Taux d'abstention au 1er tour
codgeo,libgeo,an,tx_abst_elec_leg
01088,Charnoz-sur-Ain,2022,46.4
01089,Château-Gaillard,2017,53.8
01089,Château-Gaillard,2022,52.2
01090,Châtenay,2017,44.3
01090,Châtenay,2022,40.5
01092,Châtillon-la-Palud,2017,50.4
01092,Châtillon-la-Palud,2022,50.3
01093,Châtillon-sur-Chalaronne,2017,52.9
01093,Châtillon-sur-Chalaronne,2022,52.6
01094,Chavannes-sur-Reyssouze,2017,55.4
01094,Chavannes-sur-Reyssouze,2022,49.2
01095,Nivigne et Suran,2017,39.3
01095,Nivigne et Suran,2022,40.7
01096,Chaveyriat,2017,54.5
01096,Chaveyriat,2022,51.6
01098,Chazey-Bons,2017,50.1
01098,Chazey-Bons,2022,52.4
01099,Chazey-sur-Ain,2017,48.1
01099,Chazey-sur-Ain,2022,48.5
01100,Cheignieu-la-Balme,2017,36.8
01100,Cheignieu-la-Balme,2022,35
01101,Chevillard,2017,46.2
01101,Chevillard,2022,40.4
01102,Chevroux,2017,53.4
01102,Chevroux,2022,52.6
01103,Chevry,2017,54.5
01103,Chevry,2022,54.8
01104,Chézery-Forens,2017,56.2
01104,Chézery-Forens,2022,48.3
01105,Civrieux,2017,49.9
01105,Civrieux,2022,50
01106,Cize,2017,45.1
01106,Cize,2022,52.8
01107,Cleyzieu,2017,47.5
01107,Cleyzieu,2022,33.6
01108,Coligny,2017,49.2
01108,Coligny,2022,47
01109,Collonges,2017,61.3
01109,Collonges,2022,64.1
01110,Colomieu,2017,42.5
01110,Colomieu,2022,53
01111,Conand,2017,41
01111,Conand,2022,50.9
01112,Condamine,2017,46.3
01112,Condamine,2022,43.7
01113,Condeissiat,2017,54.5
01113,Condeissiat,2022,48.8
01114,Confort,2017,44.4
01114,Confort,2022,45.3
01115,Confrançon,2017,55.7
01115,Confrançon,2022,54.6
01116,Contrevoz,2017,45.4
01116,Contrevoz,2022,52.7
01117,Conzieu,2017,47
01117,Conzieu,2022,47.1
01118,Corbonod,2017,52.9
01118,Corbonod,2022,57.7
01121,Corlier,2017,45.6
01121,Corlier,2022,40.7
01123,Cormoranche-sur-Saône,2017,49.3
01123,Cormoranche-sur-Saône,2022,48.7
01124,Cormoz,2017,49.4
01124,Cormoz,2022,57.1
01125,Corveissiat,2017,48.6
01125,Corveissiat,2022,44.1
01127,Courmangoux,2017,47.6
01127,Courmangoux,2022,38.8
01128,Courtes,2017,53
01128,Courtes,2022,48.2
01129,Crans,2017,41.4
01129,Crans,2022,37.8
01130,Bresse Vallons,2017,50.8
01130,Bresse Vallons,2022,53.2
01133,Cressin-Rochefort,2017,46.3
01133,Cressin-Rochefort,2022,45.8
01134,Crottet,2017,49.9
01134,Crottet,2022,49.7
01135,Crozet,2017,54.2
01135,Crozet,2022,52.9
01136,Cruzilles-lès-Mépillat,2017,53.2
01136,Cruzilles-lès-Mépillat,2022,51.7
01138,Culoz,2017,58
01138,Culoz,2022,58.6
01139,Curciat-Dongalon,2017,51.7
01139,Curciat-Dongalon,2022,47.7
01140,Curtafond,2017,42.1
01140,Curtafond,2022,42.9
01141,Cuzieu,2017,46
01141,Cuzieu,2022,50.3
01142,Dagneux,2017,54.4
01142,Dagneux,2022,52.6
01143,Divonne-les-Bains,2017,54.4
01143,Divonne-les-Bains,2022,55
01145,Dompierre-sur-Veyle,2017,50.2
01145,Dompierre-sur-Veyle,2022,51.3
01146,Dompierre-sur-Chalaronne,2017,46.1
01146,Dompierre-sur-Chalaronne,2022,51.5
01147,Domsure,2017,47.1
01147,Domsure,2022,50.1
01148,Dortan,2017,55.6
01148,Dortan,2022,52.2
01149,Douvres,2017,42.2
01149,Douvres,2022,41.9
01150,Drom,2017,35.3
01150,Drom,2022,37
01151,Druillat,2017,52.2
01151,Druillat,2022,46.9
01152,Échallon,2017,44.1
01152,Échallon,2022,41.9
01153,Échenevex,2017,51.4
01153,Échenevex,2022,52.9
01155,Évosges,2017,36.2
01155,Évosges,2022,32.3
01156,Faramans,2017,51
01156,Faramans,2022,46.7
01157,Fareins,2017,46.1
01157,Fareins,2022,48.8
01158,Farges,2017,55.3
01158,Farges,2022,61.5
01159,Feillens,2017,47.1
01159,Feillens,2022,55
01160,Ferney-Voltaire,2017,52.9
01160,Ferney-Voltaire,2022,56.4
01162,Flaxieu,2017,15.9
01162,Flaxieu,2022,26.1
01163,Foissiat,2017,55.9
01163,Foissiat,2022,54.2
01165,Francheleins,2017,53.2
01165,Francheleins,2022,47.3
01166,Frans,2017,49.1
01166,Frans,2022,49.3
01167,Garnerans,2017,46.2
01167,Garnerans,2022,51.8
01169,Genouilleux,2017,49.6
01169,Genouilleux,2022,46.5
01170,Béard-Géovreissiat,2017,51.4
01170,Béard-Géovreissiat,2022,51.7
01171,Géovreisset,2017,52.6
01171,Géovreisset,2022,51.6
01173,Gex,2017,57.4
01173,Gex,2022,60.4
01174,Giron,2017,51.1
01174,Giron,2022,28.7
01175,Gorrevod,2017,53.9
01175,Gorrevod,2022,51
01177,Grand-Corent,2017,41.1
01177,Grand-Corent,2022,32.7
01179,Grièges,2017,47.4
01179,Grièges,2022,50.6
01180,Grilly,2017,53.3
01180,Grilly,2022,49.1
01181,Groissiat,2017,49
01181,Groissiat,2022,52.4
01183,Guéreins,2017,56.8
01183,Guéreins,2022,54.8
01184,Hautecourt-Romanèche,2017,45.9
01184,Hautecourt-Romanèche,2022,47.5
01185,Plateau d'Hauteville,2017,47.8
01185,Plateau d'Hauteville,2022,49
01187,Haut Valromey,2017,35.4
01187,Haut Valromey,2022,43.7
01188,Illiat,2017,55.8
01188,Illiat,2022,49.8
01189,Injoux-Génissiat,2017,59
01189,Injoux-Génissiat,2022,52.2
01190,Innimond,2017,26.7
01190,Innimond,2022,34.9
01191,Izenave,2017,41.7
01191,Izenave,2022,38.2
01192,Izernore,2017,50.6
01192,Izernore,2022,50.1
01193,Izieu,2017,34.9
01193,Izieu,2022,30.6
01194,Jassans-Riottier,2017,51.8
01194,Jassans-Riottier,2022,54.3
01195,Jasseron,2017,44.3
01195,Jasseron,2022,47.3
01196,Jayat,2017,53.3
01196,Jayat,2022,57.2
01197,Journans,2017,42.2
01197,Journans,2022,35.2
01198,Joyeux,2017,39.6
01198,Joyeux,2022,43.5
01199,Jujurieux,2017,52.7
01199,Jujurieux,2022,53.9
01200,Labalme,2017,39.5
01200,Labalme,2022,40.6
01202,Lagnieu,2017,48.3
01202,Lagnieu,2022,51.3
01203,Laiz,2017,49.9
01203,Laiz,2022,46.4
01204,Le Poizat-Lalleyriat,2017,42.4
01204,Le Poizat-Lalleyriat,2022,45.9
01206,Lantenay,2017,37.4
01206,Lantenay,2022,40.3
01207,Lapeyrouse,2017,40.3
01207,Lapeyrouse,2022,37.3
01208,Lavours,2017,27.6
01208,Lavours,2022,31.2
01209,Léaz,2017,47.7
01209,Léaz,2022,56.8
01210,Lélex,2017,42.9
01210,Lélex,2022,48.4
01211,Lent,2017,50.3
01211,Lent,2022,50.7
01212,Lescheroux,2017,51.7
01212,Lescheroux,2022,52.7
01213,Leyment,2017,50.9
01213,Leyment,2022,53.7
01214,Leyssard,2017,46.4
01214,Leyssard,2022,33.9
01215,Surjoux-Lhopital,2017,46.5
01215,Surjoux-Lhopital,2022,39.3
01216,Lhuis,2017,46.6
01216,Lhuis,2022,42.8
01219,Lompnas,2017,41.2
01219,Lompnas,2022,41.1
01224,Loyettes,2017,61.9
01224,Loyettes,2022,60.5
01225,Lurcy,2017,45.9
01225,Lurcy,2022,48.5
01227,Magnieu,2017,44.9
01227,Magnieu,2022,47.4
01228,Maillat,2017,46.5
01228,Maillat,2022,45.5
01229,Malafretaz,2017,49
01229,Malafretaz,2022,54.9
01230,Mantenay-Montlin,2017,43.3
01230,Mantenay-Montlin,2022,48.3
01231,Manziat,2017,45.1
01231,Manziat,2022,53.6
01232,Marboz,2017,50.4
01232,Marboz,2022,52
01233,Marchamp,2017,46.3
01233,Marchamp,2022,39.8
01234,Marignieu,2017,38.9
01234,Marignieu,2022,44.6
01235,Marlieux,2017,51.6
01235,Marlieux,2022,53.8
01236,Marsonnas,2017,54
01236,Marsonnas,2022,52.7
01237,Martignat,2017,52
01237,Martignat,2022,55
01238,Massieux,2017,49.6
01238,Massieux,2022,50.9
01239,Massignieu-de-Rives,2017,46.7
01239,Massignieu-de-Rives,2022,43.9
01240,Matafelon-Granges,2017,47.6
01240,Matafelon-Granges,2022,51.3
01241,Meillonnas,2017,44.2
01241,Meillonnas,2022,46
01242,Mérignat,2017,32
01242,Mérignat,2022,27.2
01243,Messimy-sur-Saône,2017,50.9
01243,Messimy-sur-Saône,2022,43.5
01244,Meximieux,2017,52.9
01244,Meximieux,2022,53.3
01245,Bohas-Meyriat-Rignat,2017,46.7
01245,Bohas-Meyriat-Rignat,2022,47.8
01246,Mézériat,2017,57
01246,Mézériat,2022,60.2
01247,Mijoux,2017,49.6
01247,Mijoux,2022,52.2
01248,Mionnay,2017,48.7
01248,Mionnay,2022,46.6
01249,Miribel,2017,53.1
01249,Miribel,2022,52.3
01250,Misérieux,2017,46.7
01250,Misérieux,2022,48.9
01252,Mogneneins,2017,52.6
01252,Mogneneins,2022,50.7
01254,Montagnat,2017,52.4
01254,Montagnat,2022,52.8
01255,Montagnieu,2017,50.6
01255,Montagnieu,2022,49
01257,Montanges,2017,58.8
01257,Montanges,2022,49.3
01258,Montceaux,2017,53.5
01258,Montceaux,2022,50.6
01259,Montcet,2017,54.3
01259,Montcet,2022,46
01260,Le Montellier,2017,33.7
01260,Le Montellier,2022,40.6
01261,Monthieux,2017,47
01261,Monthieux,2022,43.9
01262,Montluel,2017,53.9
01262,Montluel,2022,52.4
01263,Montmerle-sur-Saône,2017,51.5
01263,Montmerle-sur-Saône,2022,53.4
01264,Montracol,2017,49.6
01264,Montracol,2022,46.5
01265,Montréal-la-Cluse,2017,53.2
01265,Montréal-la-Cluse,2022,53.4
01266,Montrevel-en-Bresse,2017,51.3
01266,Montrevel-en-Bresse,2022,52
01267,Nurieux-Volognat,2017,45.8
01267,Nurieux-Volognat,2022,48.3
01268,Murs-et-Gélignieux,2017,44.4
01268,Murs-et-Gélignieux,2022,43.6
01269,Nantua,2017,51.1
01269,Nantua,2022,56.7
01272,Neuville-les-Dames,2017,48.2
01272,Neuville-les-Dames,2022,50.1
01273,Neuville-sur-Ain,2017,55
01273,Neuville-sur-Ain,2022,53.2
01274,Les Neyrolles,2017,47.5
01274,Les Neyrolles,2022,55.6
01275,Neyron,2017,52.5
01275,Neyron,2022,50.1
01276,Niévroz,2017,55.4
01276,Niévroz,2022,52.4
01277,Nivollet-Montgriffon,2017,43.5
01277,Nivollet-Montgriffon,2022,38.3
01279,Oncieu,2017,31
01279,Oncieu,2022,40.4
01280,Ordonnaz,2017,41.5
01280,Ordonnaz,2022,40.9
01281,Ornex,2017,53.1
01281,Ornex,2022,53.8
01282,Outriaz,2017,45.4
01282,Outriaz,2022,39.4
01283,Oyonnax,2017,59.5
01283,Oyonnax,2022,64.1
01284,Ozan,2017,50.8
01284,Ozan,2022,54.1
01285,Parcieux,2017,42.8
01285,Parcieux,2022,45.5
01286,Parves et Nattages,2017,43
01286,Parves et Nattages,2022,42.5
01288,Péron,2017,57.9
01288,Péron,2022,55.3
01289,Péronnas,2017,48.2
01289,Péronnas,2022,50.1
01290,Pérouges,2017,43.9
01290,Pérouges,2022,46
01291,Perrex,2017,47.4
01291,Perrex,2022,46.6
01293,Peyriat,2017,33.3
01293,Peyriat,2022,34.8
01294,Peyrieu,2017,53.4
01294,Peyrieu,2022,50.2
01295,Peyzieux-sur-Saône,2017,48.8
01295,Peyzieux-sur-Saône,2022,47
01296,Pirajoux,2017,57.2
01296,Pirajoux,2022,60.7
01297,Pizay,2017,44.6
01297,Pizay,2022,47.9
01298,Plagne,2017,52.8
01298,Plagne,2022,49.1
01299,Le Plantay,2017,45.5
01299,Le Plantay,2022,48.6
01301,Polliat,2017,46.1
01301,Polliat,2022,49.2
01302,Pollieu,2017,48.3
01302,Pollieu,2022,34
01303,Poncin,2017,49.7
01303,Poncin,2022,53.2
01304,Pont-d'Ain,2017,55
01304,Pont-d'Ain,2022,57.9
01305,Pont-de-Vaux,2017,54.8
01305,Pont-de-Vaux,2022,55.8
01306,Pont-de-Veyle,2017,50.8
01306,Pont-de-Veyle,2022,52.8
01307,Port,2017,48.7
01307,Port,2022,52.6
01308,Pougny,2017,60.1
01308,Pougny,2022,65.9
01309,Pouillat,2017,52.1
01309,Pouillat,2022,38.8
01310,Prémeyzel,2017,42.7
01310,Prémeyzel,2022,38.9
01311,Prémillieu,2017,38.1
01311,Prémillieu,2022,41.5
01313,Prévessin-Moëns,2017,53.7
01313,Prévessin-Moëns,2022,53.2
01314,Priay,2017,50.3
01314,Priay,2022,52.3
01317,Ramasse,2017,42.1
01317,Ramasse,2022,41.8
01318,Rancé,2017,48.8
01318,Rancé,2022,49.4
01319,Relevant,2017,40.7
01319,Relevant,2022,47.2
01320,Replonges,2017,48.8
01320,Replonges,2022,53.9
01321,Revonnas,2017,45
01321,Revonnas,2022,46.9
01322,Reyrieux,2017,48.7
01322,Reyrieux,2022,50.5
01323,Reyssouze,2017,55.8
01323,Reyssouze,2022,53.4
01325,Rignieux-le-Franc,2017,39.8
01325,Rignieux-le-Franc,2022,46
01328,Romans,2017,49.6
01328,Romans,2022,47.9
01329,Rossillon,2017,41.4
01329,Rossillon,2022,43.8
01330,Ruffieu,2017,35.7
01330,Ruffieu,2022,25.5
01331,Saint-Alban,2017,40.1
01331,Saint-Alban,2022,33.6
01332,Saint-André-de-Bâgé,2017,47.4
01332,Saint-André-de-Bâgé,2022,52.2
01333,Saint-André-de-Corcy,2017,49.5
01333,Saint-André-de-Corcy,2022,49.5
01334,Saint-André-d'Huiriat,2017,53.9
01334,Saint-André-d'Huiriat,2022,47
01335,Saint-André-le-Bouchoux,2017,46.1
01335,Saint-André-le-Bouchoux,2022,48.9
01336,Saint-André-sur-Vieux-Jonc,2017,45.3
01336,Saint-André-sur-Vieux-Jonc,2022,48.1
01337,Saint-Bénigne,2017,51.7
01337,Saint-Bénigne,2022,51.9
01338,Groslée-Saint-Benoit,2017,53.8
01338,Groslée-Saint-Benoit,2022,50.6
01339,Saint-Bernard,2017,47
01339,Saint-Bernard,2022,47.9
01342,Sainte-Croix,2017,36.4
01342,Sainte-Croix,2022,39.9
01343,Saint-Cyr-sur-Menthon,2017,53.2
01343,Saint-Cyr-sur-Menthon,2022,52.4
01344,Saint-Denis-lès-Bourg,2017,46.9
01344,Saint-Denis-lès-Bourg,2022,46.5
01345,Saint-Denis-en-Bugey,2017,55.4
01345,Saint-Denis-en-Bugey,2022,53.7
01346,Saint-Didier-d'Aussiat,2017,46.9
01346,Saint-Didier-d'Aussiat,2022,45.8
01347,Saint-Didier-de-Formans,2017,46.6
01347,Saint-Didier-de-Formans,2022,44.1
01348,Saint-Didier-sur-Chalaronne,2017,53.6
01348,Saint-Didier-sur-Chalaronne,2022,54.4
01349,Saint-Éloi,2017,53.4
01349,Saint-Éloi,2022,45.3
01350,Saint-Étienne-du-Bois,2017,46.3
01350,Saint-Étienne-du-Bois,2022,46.2
01351,Saint-Étienne-sur-Chalaronne,2017,55.3
01351,Saint-Étienne-sur-Chalaronne,2022,57.7
01352,Saint-Étienne-sur-Reyssouze,2017,53.3
01352,Saint-Étienne-sur-Reyssouze,2022,53.9
01353,Sainte-Euphémie,2017,45.5
01353,Sainte-Euphémie,2022,48.1
01354,Saint-Genis-Pouilly,2017,59.3
01354,Saint-Genis-Pouilly,2022,61.8
01355,Saint-Genis-sur-Menthon,2017,49.7
01355,Saint-Genis-sur-Menthon,2022,52.3
01356,Saint-Georges-sur-Renon,2017,45
01356,Saint-Georges-sur-Renon,2022,47.5
01357,Saint-Germain-de-Joux,2017,54
01357,Saint-Germain-de-Joux,2022,55.4
01358,Saint-Germain-les-Paroisses,2017,40.2
01358,Saint-Germain-les-Paroisses,2022,36.5
01359,Saint-Germain-sur-Renon,2017,49.8
01359,Saint-Germain-sur-Renon,2022,48.6
01360,Saint-Jean-de-Gonville,2017,49.5
01360,Saint-Jean-de-Gonville,2022,55
01361,Saint-Jean-de-Niost,2017,50
01361,Saint-Jean-de-Niost,2022,45
01362,Saint-Jean-de-Thurigneux,2017,48.6
01362,Saint-Jean-de-Thurigneux,2022,43
01363,Saint-Jean-le-Vieux,2017,45.9
01363,Saint-Jean-le-Vieux,2022,49.7
01364,Saint-Jean-sur-Reyssouze,2017,54.6
01364,Saint-Jean-sur-Reyssouze,2022,54.9
01365,Saint-Jean-sur-Veyle,2017,51.5
01365,Saint-Jean-sur-Veyle,2022,55.8
01366,Sainte-Julie,2017,41.6
01366,Sainte-Julie,2022,43.9
01367,Saint-Julien-sur-Reyssouze,2017,46.8
01367,Saint-Julien-sur-Reyssouze,2022,45.6
01368,Saint-Julien-sur-Veyle,2017,48.6
01368,Saint-Julien-sur-Veyle,2022,48.4
01369,Saint-Just,2017,50.4
01369,Saint-Just,2022,48.5
01370,Saint-Laurent-sur-Saône,2017,56.2
01370,Saint-Laurent-sur-Saône,2022,56.3
01371,Saint-Marcel,2017,52.3
01371,Saint-Marcel,2022,53.7
01372,Saint-Martin-de-Bavel,2017,48.2
01372,Saint-Martin-de-Bavel,2022,48.2
01373,Saint-Martin-du-Frêne,2017,45.3
01373,Saint-Martin-du-Frêne,2022,46
01374,Saint-Martin-du-Mont,2017,49.1
01374,Saint-Martin-du-Mont,2022,49.2
01375,Saint-Martin-le-Châtel,2017,52.7
01375,Saint-Martin-le-Châtel,2022,47.1
01376,Saint-Maurice-de-Beynost,2017,57.6
01376,Saint-Maurice-de-Beynost,2022,55.5
01378,Saint-Maurice-de-Gourdans,2017,52.3
01378,Saint-Maurice-de-Gourdans,2022,51.6
01379,Saint-Maurice-de-Rémens,2017,48.7
01379,Saint-Maurice-de-Rémens,2022,49.1
01380,Saint-Nizier-le-Bouchoux,2017,50.5
01380,Saint-Nizier-le-Bouchoux,2022,42.3
01381,Saint-Nizier-le-Désert,2017,53.1
01381,Saint-Nizier-le-Désert,2022,53.3
01382,Sainte-Olive,2017,50.5
01382,Sainte-Olive,2022,50.2
01383,Saint-Paul-de-Varax,2017,54.1
01383,Saint-Paul-de-Varax,2022,57.3
01384,Saint-Rambert-en-Bugey,2017,58.1
01384,Saint-Rambert-en-Bugey,2022,59
01385,Saint-Rémy,2017,44.1
01385,Saint-Rémy,2022,47.2
01386,Saint-Sorlin-en-Bugey,2017,40.4
01386,Saint-Sorlin-en-Bugey,2022,43.4
01387,Saint-Sulpice,2017,48.3
01387,Saint-Sulpice,2022,40.9
01388,Saint-Trivier-de-Courtes,2017,49.7
01388,Saint-Trivier-de-Courtes,2022,49.9
01389,Saint-Trivier-sur-Moignans,2017,57
01389,Saint-Trivier-sur-Moignans,2022,51.6
01390,Saint-Vulbas,2017,56.1
01390,Saint-Vulbas,2022,54
01391,Salavre,2017,46.1
01391,Salavre,2022,41.2
01392,Samognat,2017,40.1
01392,Samognat,2022,50
01393,Sandrans,2017,45.2
01393,Sandrans,2022,46
01396,Sault-Brénaz,2017,55.2
01396,Sault-Brénaz,2022,53.2
01397,Sauverny,2017,60.4
01397,Sauverny,2022,55.4
01398,Savigneux,2017,54.8
01398,Savigneux,2022,53.3
01399,Ségny,2017,51.7
01399,Ségny,2022,56.1
01400,Seillonnaz,2017,38
01400,Seillonnaz,2022,33.3
01401,Sergy,2017,48.8
01401,Sergy,2022,52.4
01402,Sermoyer,2017,53.3
01402,Sermoyer,2022,47.1
01403,Serrières-de-Briord,2017,54.9
01403,Serrières-de-Briord,2022,58.6
01404,Serrières-sur-Ain,2017,39.7
01404,Serrières-sur-Ain,2022,43.3
01405,Servas,2017,58
01405,Servas,2022,55
01406,Servignat,2017,48
01406,Servignat,2022,36.3
01407,Seyssel,2017,54.8
01407,Seyssel,2022,54.5
01408,Simandre-sur-Suran,2017,48.8
01408,Simandre-sur-Suran,2022,46.7
01410,Sonthonnax-la-Montagne,2017,40.2
01410,Sonthonnax-la-Montagne,2022,39.3
01411,Souclin,2017,39.9
01411,Souclin,2022,35.4
01412,Sulignat,2017,48.6
01412,Sulignat,2022,50.2
01415,Talissieu,2017,46.9
01415,Talissieu,2022,45.6
01416,Tenay,2017,56.1
01416,Tenay,2022,57.5
01418,Thil,2017,48.9
01418,Thil,2022,48.4
01419,Thoiry,2017,51.5
01419,Thoiry,2022,53.5
01420,Thoissey,2017,57.6
01420,Thoissey,2022,57.1
01421,Torcieu,2017,46.1
01421,Torcieu,2022,38
01422,Tossiat,2017,49
01422,Tossiat,2022,50.1
01423,Toussieux,2017,50.9
01423,Toussieux,2022,43.6
01424,Tramoyes,2017,44.4
01424,Tramoyes,2022,42.1
01425,La Tranclière,2017,51.8
01425,La Tranclière,2022,45.2
01426,Val-Revermont,2017,46.7
01426,Val-Revermont,2022,45.7
01427,Trévoux,2017,52.4
01427,Trévoux,2022,50.4
01428,Valeins,2017,32.6
01428,Valeins,2022,53.3
01429,Vandeins,2017,46.7
01429,Vandeins,2022,49.7
01430,Varambon,2017,45.2
01430,Varambon,2022,50.9
01431,Vaux-en-Bugey,2017,44.7
01431,Vaux-en-Bugey,2022,41.7
01432,Verjon,2017,44.3
01432,Verjon,2022,41.1
01433,Vernoux,2017,52
01433,Vernoux,2022,44.8
01434,Versailleux,2017,49.2
01434,Versailleux,2022,47.2
01435,Versonnex,2017,61.3
01435,Versonnex,2022,62.7
01436,Vesancy,2017,41.8
01436,Vesancy,2022,50
01437,Vescours,2017,54.1
01437,Vescours,2022,48
01439,Vésines,2017,34.7
01439,Vésines,2022,41.7
01441,Vieu-d'Izenave,2017,49
01441,Vieu-d'Izenave,2022,52
01443,Villars-les-Dombes,2017,51.5
01443,Villars-les-Dombes,2022,52.7
01444,Villebois,2017,51
01444,Villebois,2022,49
01445,Villemotier,2017,50.6
01445,Villemotier,2022,50.9
01446,Villeneuve,2017,51.7
01446,Villeneuve,2022,49.1
01447,Villereversure,2017,51.1
01447,Villereversure,2022,50.2
