Observatoire des territoires - ANCT,...2,...3,...4
Taux de participation aux élections législatives (Commune (2022)),,,
,,,
,,,Législatives - Taux d'abstention au 1er tour
codgeo,libgeo,an,tx_abst_elec_leg
09219,Orgibet,2022,45.7
09220,Orlu,2017,24.3
09220,Orlu,2022,29.1
09221,Ornolac-Ussat-les-Bains,2017,40.6
09221,Ornolac-Ussat-les-Bains,2022,39.9
09222,Orus,2017,40
09222,Orus,2022,32.3
09223,Oust,2017,45
09223,Oust,2022,39.2
09224,Pailhès,2017,35.9
09224,Pailhès,2022,36.3
09225,Pamiers,2017,51.2
09225,Pamiers,2022,52.8
09226,Pech,2017,24.4
09226,Pech,2022,26.2
09227,Péreille,2017,50
09227,Péreille,2022,46.6
09228,Perles-et-Castelet,2017,41.2
09228,Perles-et-Castelet,2022,43.7
09229,Le Peyrat,2017,45.3
09229,Le Peyrat,2022,39.3
09230,Le Pla,2017,25
09230,Le Pla,2022,48.1
09231,Le Port,2017,43.1
09231,Le Port,2022,43.3
09232,Prades,2017,26.2
09232,Prades,2022,31.6
09233,Pradettes,2017,41
09233,Pradettes,2022,26.7
09234,Pradières,2017,21
09234,Pradières,2022,28.3
09235,Prat-Bonrepaux,2017,46.4
09235,Prat-Bonrepaux,2022,48.8
09236,Prayols,2017,41.1
09236,Prayols,2022,39.2
09237,Le Puch,2017,30
09237,Le Puch,2022,26.3
09238,Les Pujols,2017,41.4
09238,Les Pujols,2022,51.1
09239,Quérigut,2017,31.7
09239,Quérigut,2022,43
09240,Quié,2017,40.4
09240,Quié,2022,36.4
09241,Rabat-les-Trois-Seigneurs,2017,42.9
09241,Rabat-les-Trois-Seigneurs,2022,40.7
09242,Raissac,2017,19
09242,Raissac,2022,30.2
09243,Régat,2017,40.7
09243,Régat,2022,45.1
09244,Rieucros,2017,49.8
09244,Rieucros,2022,52.4
09245,Rieux-de-Pelleport,2017,49.6
09245,Rieux-de-Pelleport,2022,50.2
09246,Rimont,2017,46.7
09246,Rimont,2022,37.9
09247,Rivèrenert,2017,41.8
09247,Rivèrenert,2022,33.5
09249,Roquefixade,2017,31.4
09249,Roquefixade,2022,38.1
09250,Roquefort-les-Cascades,2017,30.1
09250,Roquefort-les-Cascades,2022,32.6
09251,Roumengoux,2017,48.1
09251,Roumengoux,2022,46.5
09252,Rouze,2017,32.4
09252,Rouze,2022,30.4
09253,Sabarat,2017,44.9
09253,Sabarat,2022,42.7
09254,Saint-Amadou,2017,44.1
09254,Saint-Amadou,2022,39.9
09255,Saint-Amans,2017,38.6
09255,Saint-Amans,2022,34.3
09256,Saint-Bauzeil,2017,37.5
09256,Saint-Bauzeil,2022,46
09257,Sainte-Croix-Volvestre,2017,36.7
09257,Sainte-Croix-Volvestre,2022,42.8
09258,Saint-Félix-de-Rieutord,2017,46.3
09258,Saint-Félix-de-Rieutord,2022,47
09259,Saint-Félix-de-Tournegat,2017,39.8
09259,Saint-Félix-de-Tournegat,2022,28.3
09260,Sainte-Foi,2017,28
09260,Sainte-Foi,2022,24
09261,Saint-Girons,2017,51
09261,Saint-Girons,2022,50.8
09262,Saint-Jean-d'Aigues-Vives,2017,45.2
09262,Saint-Jean-d'Aigues-Vives,2022,41.9
09263,Saint-Jean-du-Castillonnais,2017,36.4
09263,Saint-Jean-du-Castillonnais,2022,17.9
09264,Saint-Jean-de-Verges,2017,48.1
09264,Saint-Jean-de-Verges,2022,44.9
09265,Saint-Jean-du-Falga,2017,46.9
09265,Saint-Jean-du-Falga,2022,49.4
09266,Saint-Julien-de-Gras-Capou,2017,31.9
09266,Saint-Julien-de-Gras-Capou,2022,47.6
09267,Saint-Lary,2017,50.4
09267,Saint-Lary,2022,33.8
09268,Saint-Lizier,2017,49.3
09268,Saint-Lizier,2022,43
09269,Saint-Martin-de-Caralp,2017,35
09269,Saint-Martin-de-Caralp,2022,36.3
09270,Saint-Martin-d'Oydes,2017,44.3
09270,Saint-Martin-d'Oydes,2022,46.7
09271,Saint-Michel,2017,52.2
09271,Saint-Michel,2022,40.5
09272,Saint-Paul-de-Jarrat,2017,45.3
09272,Saint-Paul-de-Jarrat,2022,41
09273,Saint-Pierre-de-Rivière,2017,40
09273,Saint-Pierre-de-Rivière,2022,37.6
09274,Saint-Quentin-la-Tour,2017,42.8
09274,Saint-Quentin-la-Tour,2022,38.3
09275,Saint-Quirc,2017,33.3
09275,Saint-Quirc,2022,47.5
09276,Saint-Victor-Rouzaud,2017,48.5
09276,Saint-Victor-Rouzaud,2022,42.2
09277,Saint-Ybars,2017,47
09277,Saint-Ybars,2022,44.9
09279,Salsein,2017,37
09279,Salsein,2022,31.6
09280,Saurat,2017,35.6
09280,Saurat,2022,36.7
09281,Sautel,2017,36.3
09281,Sautel,2022,31.1
09282,Saverdun,2017,41.6
09282,Saverdun,2022,49.5
09283,Savignac-les-Ormeaux,2017,38.6
09283,Savignac-les-Ormeaux,2022,36.6
09284,Ségura,2017,45.1
09284,Ségura,2022,45
09285,Seix,2017,42.4
09285,Seix,2022,41.9
09287,Senconac,2017,25
09287,Senconac,2022,30.8
09289,Lorp-Sentaraille,2017,51
09289,Lorp-Sentaraille,2022,49
09290,Sentein,2017,36.9
09290,Sentein,2022,31
09291,Sentenac-d'Oust,2017,48.9
09291,Sentenac-d'Oust,2022,42.9
09292,Sentenac-de-Sérou,2017,54
09292,Sentenac-de-Sérou,2022,37.5
09293,Serres-sur-Arget,2017,42.2
09293,Serres-sur-Arget,2022,42.9
09294,Sieuras,2017,37.5
09294,Sieuras,2022,32.4
09295,Siguer,2017,43.2
09295,Siguer,2022,43.4
09296,Aulos-Sinsat,2017,48.1
09296,Aulos-Sinsat,2022,42.3
09297,Sor,2017,23.1
09297,Sor,2022,40
09298,Sorgeat,2017,38.2
09298,Sorgeat,2022,39.7
09299,Soueix-Rogalle,2017,44.2
09299,Soueix-Rogalle,2022,40.6
09300,Soula,2017,37.4
09300,Soula,2022,36.9
09301,Soulan,2017,51.7
09301,Soulan,2022,50.1
09303,Surba,2017,44.1
09303,Surba,2022,49.4
09304,Suzan,2017,46.7
09304,Suzan,2022,46.4
09305,Tabre,2017,54.8
09305,Tabre,2022,50.7
09306,Tarascon-sur-Ariège,2017,51.2
09306,Tarascon-sur-Ariège,2022,47.3
09307,Taurignan-Castet,2017,47.1
09307,Taurignan-Castet,2022,49.3
09308,Taurignan-Vieux,2017,34.8
09308,Taurignan-Vieux,2022,38
09309,Teilhet,2017,35.1
09309,Teilhet,2022,36.5
09310,Thouars-sur-Arize,2017,41
09310,Thouars-sur-Arize,2022,39.5
09311,Tignac,2017,48.6
09311,Tignac,2022,28.6
09312,La Tour-du-Crieu,2017,49.1
09312,La Tour-du-Crieu,2022,49.4
09313,Tourtouse,2017,25.2
09313,Tourtouse,2022,23
09314,Tourtrol,2017,43.1
09314,Tourtrol,2022,48
09315,Trémoulet,2017,24.7
09315,Trémoulet,2022,32.1
09316,Troye-d'Ariège,2017,45.2
09316,Troye-d'Ariège,2022,31.5
09318,Unac,2017,39.8
09318,Unac,2022,45.7
09319,Unzent,2017,37.6
09319,Unzent,2022,40.8
09320,Urs,2017,39.5
09320,Urs,2022,40.5
09321,Ussat,2017,37.5
09321,Ussat,2022,31.2
09322,Ustou,2017,41.5
09322,Ustou,2022,39.6
09323,Vals,2017,27.1
09323,Vals,2022,31
09324,Varilhes,2017,47.1
09324,Varilhes,2022,49.8
09325,Vaychis,2017,47.8
09325,Vaychis,2022,22.2
09326,Vèbre,2017,38
09326,Vèbre,2022,40.5
09327,Ventenac,2017,46.9
09327,Ventenac,2022,35.4
09328,Verdun,2017,37
09328,Verdun,2022,37.3
09329,Vernajoul,2017,39.3
09329,Vernajoul,2022,38.5
09330,Vernaux,2017,43.8
09330,Vernaux,2022,51.4
09331,Le Vernet,2017,42.5
09331,Le Vernet,2022,46.7
09332,Verniolle,2017,49.4
09332,Verniolle,2022,49.9
09334,Val-de-Sos,2017,39.9
09334,Val-de-Sos,2022,39
09335,Villeneuve,2017,15.2
09335,Villeneuve,2022,17
09336,Villeneuve-d'Olmes,2017,53.4
09336,Villeneuve-d'Olmes,2022,45.4
09338,Villeneuve-du-Latou,2017,30.6
09338,Villeneuve-du-Latou,2022,28.7
09339,Villeneuve-du-Paréage,2017,49.2
09339,Villeneuve-du-Paréage,2022,47.4
09340,Vira,2017,36.6
09340,Vira,2022,38.3
09341,Viviès,2017,40.8
09341,Viviès,2022,38.5
09342,Sainte-Suzanne,2017,45.7
09342,Sainte-Suzanne,2022,41.1
10002,Ailleville,2017,44.3
10002,Ailleville,2022,51
10003,Aix-Villemaur-Pâlis,2017,45.2
10003,Aix-Villemaur-Pâlis,2022,49.5
10004,Allibaudières,2017,56
10004,Allibaudières,2022,58.1
10005,Amance,2017,55.3
10005,Amance,2022,54.4
10006,Arcis-sur-Aube,2017,52.7
10006,Arcis-sur-Aube,2022,52
10007,Arconville,2017,53.6
10007,Arconville,2022,40.7
10008,Argançon,2017,54.6
10008,Argançon,2022,51.6
10009,Arrelles,2017,44
10009,Arrelles,2022,35
10010,Arrembécourt,2017,46.3
10010,Arrembécourt,2022,44.2
10011,Arrentières,2017,42.5
10011,Arrentières,2022,48.7
10012,Arsonval,2017,44.4
10012,Arsonval,2022,41.6
10013,Assenay,2017,42
10013,Assenay,2022,39.5
10014,Assencières,2017,49.6
10014,Assencières,2022,47.2
10015,Aubeterre,2017,54.7
10015,Aubeterre,2022,50.4
10017,Aulnay,2017,29.8
10017,Aulnay,2022,43.5
10018,Auxon,2017,52
10018,Auxon,2022,49.5
10019,Val-d'Auzon,2017,47.1
10019,Val-d'Auzon,2022,48.8
10020,Avant-lès-Marcilly,2017,54.6
10020,Avant-lès-Marcilly,2022,47
10021,Avant-lès-Ramerupt,2017,47.1
10021,Avant-lès-Ramerupt,2022,48
10022,Avirey-Lingey,2017,51.6
10022,Avirey-Lingey,2022,45.1
10023,Avon-la-Pèze,2017,40.1
10023,Avon-la-Pèze,2022,38.6
10024,Avreuil,2017,46.6
10024,Avreuil,2022,41.3
10025,Bagneux-la-Fosse,2017,49.4
10025,Bagneux-la-Fosse,2022,45.6
10026,Bailly-le-Franc,2017,31
10026,Bailly-le-Franc,2022,28.6
10027,Balignicourt,2017,52.7
10027,Balignicourt,2022,42.9
10028,Balnot-la-Grange,2017,34.3
10028,Balnot-la-Grange,2022,43.1
10029,Balnot-sur-Laignes,2017,45
10029,Balnot-sur-Laignes,2022,42.2
10030,Barberey-Saint-Sulpice,2017,47.1
10030,Barberey-Saint-Sulpice,2022,54
10031,Barbuise,2017,54.6
10031,Barbuise,2022,53.6
10032,Baroville,2017,48.5
10032,Baroville,2022,48.5
10033,Bar-sur-Aube,2017,53.3
10033,Bar-sur-Aube,2022,56.4
10034,Bar-sur-Seine,2017,56.9
10034,Bar-sur-Seine,2022,54.4
10035,Bayel,2017,49.3
10035,Bayel,2022,50.1
10037,Bercenay-en-Othe,2017,43.2
10037,Bercenay-en-Othe,2022,51.8
10038,Bercenay-le-Hayer,2017,45.2
10038,Bercenay-le-Hayer,2022,54
10039,Bergères,2017,52.3
10039,Bergères,2022,41.9
10040,Bernon,2017,57
10040,Bernon,2022,56.7
10041,Bertignolles,2017,31.2
10041,Bertignolles,2022,33.3
10042,Bérulle,2017,37.1
10042,Bérulle,2022,42.4
10043,Bessy,2017,51.6
10043,Bessy,2022,46
10044,Bétignicourt,2017,16.1
10044,Bétignicourt,2022,16.1
10045,Beurey,2017,42.2
10045,Beurey,2022,49.7
10046,Blaincourt-sur-Aube,2017,32.5
10046,Blaincourt-sur-Aube,2022,35.4
10047,Blignicourt,2017,27.5
10047,Blignicourt,2022,17.9
10048,Bligny,2017,58.7
10048,Bligny,2022,51.3
10049,Les Bordes-Aumont,2017,55.2
10049,Les Bordes-Aumont,2022,56.8
10050,Bossancourt,2017,50.3
10050,Bossancourt,2022,48.5
10051,Bouilly,2017,39.6
10051,Bouilly,2022,44.5
10052,Boulages,2017,42.8
10052,Boulages,2022,53.9
10053,Bouranton,2017,49.1
10053,Bouranton,2022,49.2
10054,Bourdenay,2017,42.6
10054,Bourdenay,2022,34.2
10055,Bourguignons,2017,48
10055,Bourguignons,2022,46.9
10056,Bouy-Luxembourg,2017,42.4
10056,Bouy-Luxembourg,2022,50.9
10057,Bouy-sur-Orvin,2017,50
10057,Bouy-sur-Orvin,2022,35.7
10058,Bragelogne-Beauvoir,2017,48.1
10058,Bragelogne-Beauvoir,2022,42.9
10059,Braux,2017,51.5
10059,Braux,2022,56.1
10060,Bréviandes,2017,48.2
10060,Bréviandes,2022,52.4
10061,Brévonnes,2017,49.4
10061,Brévonnes,2022,48.6
10062,Briel-sur-Barse,2017,38.9
10062,Briel-sur-Barse,2022,37.5
10063,Brienne-la-Vieille,2017,33.8
10063,Brienne-la-Vieille,2022,44.4
10064,Brienne-le-Château,2017,49.1
10064,Brienne-le-Château,2022,55.8
10065,Brillecourt,2017,40.5
10065,Brillecourt,2022,44
10066,Bucey-en-Othe,2017,47
10066,Bucey-en-Othe,2022,44.9
10067,Buchères,2017,51.2
10067,Buchères,2022,49.8
10068,Buxeuil,2017,36.1
10068,Buxeuil,2022,51.8
10069,Buxières-sur-Arce,2017,54.9
10069,Buxières-sur-Arce,2022,41.7
10070,Celles-sur-Ource,2017,42
10070,Celles-sur-Ource,2022,46
10071,Chacenay,2017,44.7
10071,Chacenay,2022,46.2
10072,La Chaise,2017,39.5
10072,La Chaise,2022,37.9
10073,Chalette-sur-Voire,2017,41.1
10073,Chalette-sur-Voire,2022,34.3
10074,Chamoy,2017,40.9
10074,Chamoy,2022,46
10075,Champfleury,2017,63.2
10075,Champfleury,2022,53.7
10076,Champignol-lez-Mondeville,2017,46.9
10076,Champignol-lez-Mondeville,2022,48.4
10077,Champigny-sur-Aube,2017,43.7
10077,Champigny-sur-Aube,2022,50
10078,Champ-sur-Barse,2017,4
10078,Champ-sur-Barse,2022,8.7
10079,Channes,2017,56.2
10079,Channes,2022,47.4
10080,Chaource,2017,53.2
10080,Chaource,2022,52.9
10081,La Chapelle-Saint-Luc,2017,57.7
10081,La Chapelle-Saint-Luc,2022,59.5
10082,Chapelle-Vallon,2017,48.8
10082,Chapelle-Vallon,2022,58.6
10083,Chappes,2017,42.5
10083,Chappes,2022,45.6
10084,Charmont-sous-Barbuise,2017,48.3
10084,Charmont-sous-Barbuise,2022,50.2
10085,Charmoy,2017,34.7
10085,Charmoy,2022,38
10086,Charny-le-Bachot,2017,50.5
10086,Charny-le-Bachot,2022,46.9
10087,Chaserey,2017,42.2
10087,Chaserey,2022,46.7
10089,Châtres,2017,49.4
10089,Châtres,2022,47.5
10090,Chauchigny,2017,42.6
10090,Chauchigny,2022,42.2
10091,Chaudrey,2017,47.9
10091,Chaudrey,2022,50.9
10092,Chauffour-lès-Bailly,2017,43.6
10092,Chauffour-lès-Bailly,2022,47.6
10093,Chaumesnil,2017,36.7
10093,Chaumesnil,2022,44.6
10094,Chavanges,2017,45.1
10094,Chavanges,2022,53.2
10095,Le Chêne,2017,51.7
10095,Le Chêne,2022,56.2
10096,Chennegy,2017,38.8
10096,Chennegy,2022,41.2
10097,Chervey,2017,31.1
10097,Chervey,2022,44.6
10098,Chesley,2017,52.7
10098,Chesley,2022,51
10099,Chessy-les-Prés,2017,47
10099,Chessy-les-Prés,2022,47.8
10100,Clérey,2017,52.5
10100,Clérey,2022,52.8
10101,Coclois,2017,44.4
10101,Coclois,2022,44.2
10102,Colombé-la-Fosse,2017,47.9
10102,Colombé-la-Fosse,2022,48.7
10103,Colombé-le-Sec,2017,39.5
10103,Colombé-le-Sec,2022,36
10104,Cormost,2017,53.2
10104,Cormost,2022,47.4
10105,Courcelles-sur-Voire,2017,0
10105,Courcelles-sur-Voire,2022,40.7
10106,Courceroy,2017,40.7
10106,Courceroy,2022,33.7
10107,Coursan-en-Othe,2017,34.4
10107,Coursan-en-Othe,2022,42.7
10108,Courtaoult,2017,42.6
10108,Courtaoult,2022,39
10109,Courtenot,2017,51.4
10109,Courtenot,2022,37.4
10110,Courteranges,2017,50.8
10110,Courteranges,2022,47.6
10111,Courteron,2017,37.5
10111,Courteron,2022,48.6
10112,Coussegrey,2017,37.2
10112,Coussegrey,2022,47.9
10113,Couvignon,2017,39.4
10113,Couvignon,2022,40
10114,Crancey,2017,56.3
10114,Crancey,2022,49.5
10115,Creney-près-Troyes,2017,42.3
10115,Creney-près-Troyes,2022,43.4
10116,Crésantignes,2017,40.2
10116,Crésantignes,2022,37.9
10117,Crespy-le-Neuf,2017,48
10117,Crespy-le-Neuf,2022,57.6
10118,Les Croûtes,2017,28.9
10118,Les Croûtes,2022,34.1
10119,Cunfin,2017,31.6
10119,Cunfin,2022,32.5
10120,Cussangy,2017,55.4
10120,Cussangy,2022,44.9
10121,Dampierre,2017,46.6
10121,Dampierre,2022,45.7
10122,Davrey,2017,42.8
10122,Davrey,2022,47.8
10123,Dienville,2017,48.4
10123,Dienville,2022,52.5
10124,Dierrey-Saint-Julien,2017,43
10124,Dierrey-Saint-Julien,2022,46.1
10125,Dierrey-Saint-Pierre,2017,42.7
10125,Dierrey-Saint-Pierre,2022,45.8
10126,Dolancourt,2017,60
10126,Dolancourt,2022,56.6
10127,Dommartin-le-Coq,2017,36.5
10127,Dommartin-le-Coq,2022,36.5
10128,Donnement,2017,50
10128,Donnement,2022,51.4
10129,Dosches,2017,50.2
10129,Dosches,2022,37.8
10130,Dosnon,2017,37.2
10130,Dosnon,2022,37.6
10131,Droupt-Saint-Basle,2017,42.4
10131,Droupt-Saint-Basle,2022,51.4
10132,Droupt-Sainte-Marie,2017,40.6
10132,Droupt-Sainte-Marie,2022,48.4
10133,Eaux-Puiseaux,2017,37.4
10133,Eaux-Puiseaux,2022,41.7
10134,Échemines,2017,34.7
10134,Échemines,2022,19.7
10135,Éclance,2017,48.5
10135,Éclance,2022,47.3
10136,Éguilly-sous-Bois,2017,39.8
10136,Éguilly-sous-Bois,2022,52
10137,Engente,2017,23.1
10137,Engente,2022,30.4
10138,Épagne,2017,31
10138,Épagne,2022,38.4
10139,Épothémont,2017,48
10139,Épothémont,2022,55.6
10140,Ervy-le-Châtel,2017,49
10140,Ervy-le-Châtel,2022,54.5
10141,Essoyes,2017,49.7
10141,Essoyes,2022,52.8
10142,Estissac,2017,47.6
10142,Estissac,2022,48.1
10143,Étourvy,2017,34.8
10143,Étourvy,2022,35.5
10144,Étrelles-sur-Aube,2017,48.4
10144,Étrelles-sur-Aube,2022,41.8
10145,Faux-Villecerf,2017,39.4
10145,Faux-Villecerf,2022,47
10146,Fay-lès-Marcilly,2017,59.4
10146,Fay-lès-Marcilly,2022,40
10147,Fays-la-Chapelle,2017,46.2
10147,Fays-la-Chapelle,2022,54
10148,Ferreux-Quincey,2017,45.2
10148,Ferreux-Quincey,2022,43.7
10149,Feuges,2017,32.5
10149,Feuges,2022,40.9
10150,Fontaine,2017,35.1
10150,Fontaine,2022,37.7
10151,Fontaine-les-Grès,2017,45.8
10151,Fontaine-les-Grès,2022,50.3
10153,Fontaine-Mâcon,2017,52.1
10153,Fontaine-Mâcon,2022,56.4
10154,Fontenay-de-Bossery,2017,32
10154,Fontenay-de-Bossery,2022,25
10155,Fontette,2017,48.5
10155,Fontette,2022,46.2
10156,Fontvannes,2017,45.7
10156,Fontvannes,2022,48.8
10157,La Fosse-Corduan,2017,46.9
10157,La Fosse-Corduan,2022,40.9
10158,Fouchères,2017,52.2
10158,Fouchères,2022,45.9
10159,Fralignes,2017,44.1
10159,Fralignes,2022,45.9
10160,Fravaux,2017,21.7
10160,Fravaux,2022,34.1
10161,Fresnay,2017,22.7
10161,Fresnay,2022,27.3
10162,Fresnoy-le-Château,2017,39.1
10162,Fresnoy-le-Château,2022,46.3
10163,Fuligny,2017,38.3
10163,Fuligny,2022,35.8
10164,Gélannes,2017,51.6
10164,Gélannes,2022,49.9
10165,Géraudot,2017,44.1
10165,Géraudot,2022,46.6
10166,Les Grandes-Chapelles,2017,54.7
10166,Les Grandes-Chapelles,2022,52.5
10167,Grandville,2017,58.2
10167,Grandville,2022,57.6
10168,Les Granges,2017,48.4
10168,Les Granges,2022,38.7
10169,Gumery,2017,47.3
10169,Gumery,2022,47.9
10170,Gyé-sur-Seine,2017,56.1
10170,Gyé-sur-Seine,2022,51.6
10171,Hampigny,2017,48
10171,Hampigny,2022,48.7
10172,Herbisse,2017,33.3
10172,Herbisse,2022,39.5
10173,Isle-Aumont,2017,43.4
10173,Isle-Aumont,2022,43
10174,Isle-Aubigny,2017,42.8
10174,Isle-Aubigny,2022,53
10175,Jasseines,2017,46.3
10175,Jasseines,2022,41.7
10176,Jaucourt,2017,41.2
10176,Jaucourt,2022,40.7
10177,Javernant,2017,24
10177,Javernant,2022,32.5
10178,Jessains,2017,43.2
10178,Jessains,2022,39.6
10179,Jeugny,2017,52.5
10179,Jeugny,2022,52.9
10180,Joncreuil,2017,49.3
10180,Joncreuil,2022,52.8
10181,Jully-sur-Sarce,2017,46.5
10181,Jully-sur-Sarce,2022,43.6
10182,Juvancourt,2017,44.1
10182,Juvancourt,2022,40.6
10183,Juvanzé,2017,17.9
10183,Juvanzé,2022,17.9
10184,Juzanvigny,2017,44.5
10184,Juzanvigny,2022,54.5
10185,Lagesse,2017,49.2
10185,Lagesse,2022,49.4
10186,Laines-aux-Bois,2017,47.7
10186,Laines-aux-Bois,2022,43.2
10187,Landreville,2017,45.9
10187,Landreville,2022,41.3
10188,Lantages,2017,37.4
10188,Lantages,2022,41.3
10189,Lassicourt,2017,34.1
10189,Lassicourt,2022,36.4
10190,Laubressel,2017,38.3
10190,Laubressel,2022,44.7
10191,Lavau,2017,47.8
10191,Lavau,2022,51.1
10192,Lentilles,2017,38.3
10192,Lentilles,2022,43.6
10193,Lesmont,2017,46.8
10193,Lesmont,2022,44.4
10194,Lévigny,2017,42.6
10194,Lévigny,2022,35.7
10195,Lhuître,2017,54.8
10195,Lhuître,2022,61.4
10196,Lignières,2017,53.2
10196,Lignières,2022,41.7
10197,Lignol-le-Château,2017,48.4
10197,Lignol-le-Château,2022,53.3
10198,Lirey,2017,44.9
10198,Lirey,2022,39.3
10199,Loches-sur-Ource,2017,52.9
10199,Loches-sur-Ource,2022,47.7
10200,La Loge-aux-Chèvres,2017,38.1
10200,La Loge-aux-Chèvres,2022,37.6
10201,La Loge-Pomblin,2017,33.3
10201,La Loge-Pomblin,2022,45.1
10202,Les Loges-Margueron,2017,46.7
10202,Les Loges-Margueron,2022,43
10203,Longchamp-sur-Aujon,2017,51.9
10203,Longchamp-sur-Aujon,2022,50.2
10204,Longeville-sur-Mogne,2017,39.2
10204,Longeville-sur-Mogne,2022,52.3
10205,Longpré-le-Sec,2017,30.3
10205,Longpré-le-Sec,2022,37.3
10206,Longsols,2017,45.5
10206,Longsols,2022,45.9
10207,Longueville-sur-Aube,2017,43.1
10207,Longueville-sur-Aube,2022,48.1
10208,La Louptière-Thénard,2017,49.3
10208,La Louptière-Thénard,2022,45.4
10209,Lusigny-sur-Barse,2017,46.3
10209,Lusigny-sur-Barse,2022,47.2
10210,Luyères,2017,41.2
10210,Luyères,2022,46.5
10211,Macey,2017,46.3
10211,Macey,2022,45.2
10212,Machy,2017,43.2
10212,Machy,2022,38.3
10213,Magnant,2017,42.4
10213,Magnant,2022,51.2
10214,Magnicourt,2017,19.7
10214,Magnicourt,2022,34.3
10215,Magny-Fouchard,2017,52
10215,Magny-Fouchard,2022,51.2
10216,Mailly-le-Camp,2017,58.8
10216,Mailly-le-Camp,2022,56.8
10217,Maison-des-Champs,2017,32.3
10217,Maison-des-Champs,2022,23.3
10218,Maisons-lès-Chaource,2017,39
10218,Maisons-lès-Chaource,2022,42.2
10219,Maisons-lès-Soulaines,2017,48
10219,Maisons-lès-Soulaines,2022,60
10220,Maizières-la-Grande-Paroisse,2017,51.5
10220,Maizières-la-Grande-Paroisse,2022,50.1
10221,Maizières-lès-Brienne,2017,40.7
10221,Maizières-lès-Brienne,2022,56.2
10222,Maraye-en-Othe,2017,50.1
10222,Maraye-en-Othe,2022,42.4
10223,Marcilly-le-Hayer,2017,53.3
10223,Marcilly-le-Hayer,2022,51
10224,Marigny-le-Châtel,2017,51.6
10224,Marigny-le-Châtel,2022,47.6
10225,Marnay-sur-Seine,2017,48.1
10225,Marnay-sur-Seine,2022,39.6
10226,Marolles-lès-Bailly,2017,45.3
10226,Marolles-lès-Bailly,2022,42.2
10227,Marolles-sous-Lignières,2017,53.3
10227,Marolles-sous-Lignières,2022,52.1
10228,Mathaux,2017,47.9
10228,Mathaux,2022,49.4
10229,Maupas,2017,58.8
10229,Maupas,2022,46.3
10230,Mergey,2017,45.1
10230,Mergey,2022,42.7
10231,Le Mériot,2017,53
10231,Le Mériot,2022,56.6
10232,Merrey-sur-Arce,2017,53.5
10232,Merrey-sur-Arce,2022,46.1
10233,Méry-sur-Seine,2017,47.5
10233,Méry-sur-Seine,2022,55
10234,Mesgrigny,2017,60.2
10234,Mesgrigny,2022,48.1
10235,Mesnil-la-Comtesse,2017,32.6
10235,Mesnil-la-Comtesse,2022,46.8
10236,Mesnil-Lettre,2017,44.6
10236,Mesnil-Lettre,2022,38.6
10237,Mesnil-Saint-Loup,2017,35.1
10237,Mesnil-Saint-Loup,2022,41
10238,Mesnil-Saint-Père,2017,50.8
10238,Mesnil-Saint-Père,2022,50.2
10239,Mesnil-Sellières,2017,53.2
10239,Mesnil-Sellières,2022,52.6
10240,Messon,2017,42.8
10240,Messon,2022,48
10241,Metz-Robert,2017,52.6
10241,Metz-Robert,2022,53.5
10242,Meurville,2017,44.4
10242,Meurville,2022,43.8
10243,Molins-sur-Aube,2017,29.5
10243,Molins-sur-Aube,2022,29.3
10245,Montaulin,2017,49.7
10245,Montaulin,2022,53.7
10246,Montceaux-lès-Vaudes,2017,52.5
10246,Montceaux-lès-Vaudes,2022,64.4
10247,Montfey,2017,51.2
10247,Montfey,2022,35.1
10248,Montgueux,2017,36.6
10248,Montgueux,2022,34.2
10249,Montiéramey,2017,48.1
10249,Montiéramey,2022,43.7
10250,Montier-en-l'Isle,2017,45.2
10250,Montier-en-l'Isle,2022,45.1
10251,Montigny-les-Monts,2017,43.6
10251,Montigny-les-Monts,2022,44.2
10252,Montmartin-le-Haut,2017,37.7
10252,Montmartin-le-Haut,2022,41.7
10253,Montmorency-Beaufort,2017,39
10253,Montmorency-Beaufort,2022,43.5
10254,Montpothier,2017,41.9
10254,Montpothier,2022,47.3
10255,Montreuil-sur-Barse,2017,35.3
10255,Montreuil-sur-Barse,2022,36.9
10256,Montsuzain,2017,40.1
10256,Montsuzain,2022,50
10257,Morembert,2017,36.7
10257,Morembert,2022,28.6
10258,Morvilliers,2017,50.8
10258,Morvilliers,2022,55.1
10259,La Motte-Tilly,2017,43.8
10259,La Motte-Tilly,2022,45.4
10260,Moussey,2017,46.3
10260,Moussey,2022,43.9
10261,Mussy-sur-Seine,2017,46.7
10261,Mussy-sur-Seine,2022,51.1
10262,Neuville-sur-Seine,2017,40.1
10262,Neuville-sur-Seine,2022,40
10263,Neuville-sur-Vanne,2017,54
10263,Neuville-sur-Vanne,2022,52.5
10264,Noé-les-Mallets,2017,41.6
10264,Noé-les-Mallets,2022,42.9
10265,Les Noës-près-Troyes,2017,54.3
10265,Les Noës-près-Troyes,2022,56
10266,Nogent-en-Othe,2017,23.3
10266,Nogent-en-Othe,2022,17.8
10267,Nogent-sur-Aube,2017,46.8
10267,Nogent-sur-Aube,2022,46.6
10268,Nogent-sur-Seine,2017,51.1
10268,Nogent-sur-Seine,2022,56.5
10269,Nozay,2017,45
10269,Nozay,2022,44.7
10270,Onjon,2017,51.2
10270,Onjon,2022,50.2
10271,Origny-le-Sec,2017,42.3
